teste;teste;teste;teste;teste;teste;teste;
7891033831074;NSPA OL DES HID CPO F/AMEI 200ml V2;83107;00001;00462;;01/04/2021 08:34:48;22/04/2021 18:16:54;
7891033831074;NSPA OL DES HID CPO F/AMEI 200ml V2;83107;00001;00462;;01/04/2021 08:34:50;22/04/2021 18:16:54;
7891033757305;NSPA MASC CAP FORC/NUTR QUINOA 200g;75730;00001;00457;;01/04/2021 08:35:31;22/04/2021 18:16:54;
7891033757305;NSPA MASC CAP FORC/NUTR QUINOA 200g;75730;00001;00457;;01/04/2021 08:35:34;22/04/2021 18:16:54;
7891033831104;NSPA OL DES HID CPO QUIN/AMEN 200ml V2;83110;00001;00457;;01/04/2021 08:35:39;22/04/2021 18:16:54;
7891033757299;NSPA COND FORC/NUTR QUINOA 300ml;75729;00001;00457;;01/04/2021 08:35:43;22/04/2021 18:16:54;
7891033757299;NSPA COND FORC/NUTR QUINOA 300ml;75729;00001;00457;;01/04/2021 08:35:44;22/04/2021 18:16:54;
7891033757299;NSPA COND FORC/NUTR QUINOA 300ml;75729;00001;00457;;01/04/2021 08:35:47;22/04/2021 18:16:54;
7891033757275;NSPA DES COL BDY SPLASH QUINOA 200ml;75727;00001;00457;;01/04/2021 08:35:54;22/04/2021 18:16:54;
7891033757275;NSPA DES COL BDY SPLASH QUINOA 200ml;75727;00001;00457;;01/04/2021 08:35:56;22/04/2021 18:16:54;
7891033757275;NSPA DES COL BDY SPLASH QUINOA 200ml;75727;00001;00457;;01/04/2021 08:35:58;22/04/2021 18:16:54;
7891033222308;ACQ FRESCA DES COL BOTICOLL 100ML;22230;00001;00505;;01/04/2021 08:44:05;22/04/2021 18:16:54;
7891033718771;BOTICOLL CRAZY DES COL FEELINGS 100ml;71877;00001;00505;;01/04/2021 08:44:10;22/04/2021 18:16:54;
7891033718771;BOTICOLL CRAZY DES COL FEELINGS 100ml;71877;00001;00505;;01/04/2021 08:44:15;22/04/2021 18:16:54;
7891033718771;BOTICOLL CRAZY DES COL FEELINGS 100ml;71877;00001;00505;;01/04/2021 08:44:28;22/04/2021 18:16:54;
7891033811106;BOTICOLL CRAZY DES COL CHOICES 100ml;81110;00001;00505;;01/04/2021 08:44:36;22/04/2021 18:16:54;
7891033811106;BOTICOLL CRAZY DES COL CHOICES 100ml;81110;00001;00505;;01/04/2021 08:44:42;22/04/2021 18:16:54;
7891033744466;BOTICOLL CECITA DES COL BLOSSOM 100ml;74446;00001;00505;;01/04/2021 08:44:49;22/04/2021 18:16:54;
7891033744466;BOTICOLL CECITA DES COL BLOSSOM 100ml;74446;00001;00505;;01/04/2021 08:44:54;22/04/2021 18:16:54;
7891033836925;BOTICOLL FREE DES COL HUGS 100ML;83692;00001;00505;;01/04/2021 08:45:01;22/04/2021 18:16:54;
7891033836925;BOTICOLL FREE DES COL HUGS 100ML;83692;00001;00505;;01/04/2021 08:45:07;22/04/2021 18:16:54;
7891033197347;THATY DES COL BOTICOLL 100ML;19734;00001;00505;;01/04/2021 08:45:21;22/04/2021 18:16:54;
7891033222490;FREE DES COL BOTICOLL 100ML V4;22249;00001;00505;;01/04/2021 08:45:12;22/04/2021 18:16:54;
7891033222490;FREE DES COL BOTICOLL 100ML V4;22249;00001;00505;;01/04/2021 08:45:17;22/04/2021 18:16:54;
7891033771837;LIZ CREM DES HID CPO 250g;77183;00001;00397;;01/04/2021 08:46:06;22/04/2021 18:16:54;
7891033818501;LIZ DES COL 10ml;81850;00001;00397;;01/04/2021 08:46:10;22/04/2021 18:16:54;
7891033767007;LIZ DES COL 100ml;76700;00001;00397;;01/04/2021 08:46:13;22/04/2021 18:16:54;
7891033758777;FLORATTA EDP FLEUR SUPREME 75ml;75877;00001;00397;;01/04/2021 08:46:21;22/04/2021 18:16:54;
7891033758784;FLORATTA CR DES H CPO INT FL/SUP 250g;75878;00001;00397;;01/04/2021 08:46:18;22/04/2021 18:16:54;
7891033432806;CAIXA HORIZ INST P;43280;00001;00397;;01/04/2021 08:46:25;22/04/2021 18:16:54;
7891033737123;NSPA LOC HID DES CPO AMEIXA NEGRA 400ml;73712;00001;00452;;01/04/2021 08:36:32;22/04/2021 18:16:54;
7891033737123;NSPA LOC HID DES CPO AMEIXA NEGRA 400ml;73712;00001;00452;;01/04/2021 08:36:36;22/04/2021 18:16:54;
7891033737123;NSPA LOC HID DES CPO AMEIXA NEGRA 400ml;73712;00001;00452;;01/04/2021 08:36:42;22/04/2021 18:16:54;
7891033737123;NSPA LOC HID DES CPO AMEIXA NEGRA 400ml;73712;00001;00452;;01/04/2021 08:36:45;22/04/2021 18:16:54;
7891033729289;NSPA LOC HID DES CPO AMEIXA NEGRA 200ml;72928;00001;00452;;01/04/2021 08:36:48;22/04/2021 18:16:54;
7891033730735;NSPA SAB LIQ CPO AMEIXA NEGRA 200ml;73073;00001;00452;;01/04/2021 08:36:51;22/04/2021 18:16:54;
7891033730735;NSPA SAB LIQ CPO AMEIXA NEGRA 200ml;73073;00001;00452;;01/04/2021 08:36:54;22/04/2021 18:16:54;
